identifiant,timestamp,timestamp_string,nombre_impressions,prix_impression,prix_total,achat,budget_depense,bt,cible
175,1593147687,06-26-2020 07:01:27,2,1,2,1,271,0.060003515401854376,0.05952380952380952
176,1593147689,06-26-2020 07:01:29,1,1,1,1,272,0.0599622077693795,0.05952380952380952
177,1593147695,06-26-2020 07:01:35,2,1,2,1,274,0.05994813870698369,0.05952380952380952
178,1593147699,06-26-2020 07:01:39,10,1,10,1,284,0.05990945452947123,0.05952380952380952
179,1593147705,06-26-2020 07:01:45,2,1,2,1,286,0.05969755582908388,0.05952380952380952
180,1593147711,06-26-2020 07:01:51,4,1,4,1,290,0.059661464058034734,0.05952380952380952
181,1593147716,06-26-2020 07:01:56,1,1,1,1,291,0.05958008134549852,0.05952380952380952
182,1593147722,06-26-2020 07:02:02,3,1,3,1,294,0.05956595351700785,0.05952380952380952
183,1593147728,06-26-2020 07:02:08,3,1,3,0,294,0.05950783981703429,0.05952380952380952
184,1593147735,06-26-2020 07:02:15,4,1,4,0,294,0.059517001715567674,0.05952380952380952
185,1593147736,06-26-2020 07:02:16,1,1,1,0,294,0.059518310788518644,0.05952380952380952
186,1593147741,06-26-2020 07:02:21,3,1,3,1,297,0.05952485701715794,0.05952380952380952
187,1593147745,06-26-2020 07:02:25,2,1,2,0,297,0.05946409714889123,0.05952380952380952
188,1593147747,06-26-2020 07:02:27,10,1,10,0,297,0.05946671360056321,0.05952380952380952
189,1593147749,06-26-2020 07:02:29,2,1,2,0,297,0.05946933028249582,0.05952380952380952
190,1593147756,06-26-2020 07:02:36,3,1,3,0,297,0.05947849048300143,0.05952380952380952
191,1593147759,06-26-2020 07:02:39,5,1,5,0,297,0.05948241714713261,0.05952380952380952
192,1593147763,06-26-2020 07:02:43,4,1,4,0,297,0.05948765350587614,0.05952380952380952
193,1593147768,06-26-2020 07:02:48,0,1,0,0,297,0.059494200250918935,0.05952380952380952
194,1593147769,06-26-2020 07:02:49,4,1,4,0,297,0.05949550977284733,0.05952380952380952
195,1593147773,06-26-2020 07:02:53,5,1,5,0,297,0.05950074843708726,0.05952380952380952
196,1593147781,06-26-2020 07:03:01,7,1,7,0,297,0.0595112285336856,0.05952380952380952
197,1593147785,06-26-2020 07:03:05,7,1,7,0,297,0.05951646996653162,0.05952380952380952
198,1593147789,06-26-2020 07:03:09,3,1,3,0,297,0.05952171232273408,0.05952380952380952
199,1593147797,06-26-2020 07:03:17,0,1,0,1,297,0.059532199806184474,0.05952380952380952
200,1593147802,06-26-2020 07:03:22,5,1,5,1,302,0.059538756360272255,0.05952380952380952
201,1593147806,06-26-2020 07:03:26,4,1,4,0,302,0.05943385835444432,0.05952380952380952
202,1593147808,06-26-2020 07:03:28,1,1,1,0,302,0.05943647698984425,0.05952380952380952
203,1593147809,06-26-2020 07:03:29,3,1,3,0,302,0.05943778639407825,0.05952380952380952
204,1593147815,06-26-2020 07:03:35,6,1,6,0,302,0.05944564403119905,0.05952380952380952
205,1593147817,06-26-2020 07:03:37,4,1,4,0,302,0.05944826370527058,0.05952380952380952
206,1593147820,06-26-2020 07:03:40,10,1,10,0,302,0.05945219364932461,0.05952380952380952
207,1593147826,06-26-2020 07:03:46,1,1,1,0,302,0.05946005509641873,0.05952380952380952
208,1593147831,06-26-2020 07:03:51,3,1,3,0,302,0.059466607890676655,0.05952380952380952
209,1593147836,06-26-2020 07:03:56,3,1,3,0,302,0.05947316212939491,0.05952380952380952
210,1593147839,06-26-2020 07:03:59,8,1,8,0,302,0.059477095366165515,0.05952380952380952
211,1593147845,06-26-2020 07:04:05,6,1,6,0,302,0.05948496340065262,0.05952380952380952
212,1593147850,06-26-2020 07:04:10,2,1,2,0,302,0.05949152168640162,0.05952380952380952
213,1593147859,06-26-2020 07:04:19,8,1,8,0,302,0.059503330245688324,0.05952380952380952
214,1593147862,06-26-2020 07:04:22,5,1,5,0,302,0.0595072674739187,0.05952380952380952
215,1593147866,06-26-2020 07:04:26,2,1,2,0,302,0.059512517922135216,0.05952380952380952
